(base) root@autodl-container-rzdjvsj47k-e38fed42:~/autodl-tmp/MyGPT_Project/stage2_lora# python train.lora.py 
`torch_dtype` is deprecated! Use `dtype` instead!
Loading weights: 100%|███████| 290/290 [00:00<00:00, 794.77it/s]
trainable params: 8,798,208 || all params: 502,830,976 || trainable%: 1.7497
Map: 100%|██████████| 3265/3265 [00:05<00:00, 565.10 examples/s]
{'loss': '3.835', 'grad_norm': '0.451', 'learning_rate': '9.854e-05', 'epoch': '0.0489'}
{'loss': '2.852', 'grad_norm': '0.7445', 'learning_rate': '1.724e-05', 'epoch': '2.489'}
{'loss': '2.864', 'grad_norm': '0.7582', 'learning_rate': '1.561e-05', 'epoch': '2.538'}
{'loss': '2.89', 'grad_norm': '0.7118', 'learning_rate': '1.398e-05', 'epoch': '2.587'}
{'loss': '2.844', 'grad_norm': '0.7043', 'learning_rate': '1.236e-05', 'epoch': '2.636'}
{'loss': '2.833', 'grad_norm': '0.7249', 'learning_rate': '1.073e-05', 'epoch': '2.685'}
{'loss': '2.894', 'grad_norm': '0.744', 'learning_rate': '9.106e-06', 'epoch': '2.733'}
{'loss': '2.852', 'grad_norm': '0.699', 'learning_rate': '7.48e-06', 'epoch': '2.782'}
{'loss': '2.874', 'grad_norm': '0.6957', 'learning_rate': '5.854e-06', 'epoch': '2.831'}
{'loss': '2.862', 'grad_norm': '0.8282', 'learning_rate': '4.228e-06', 'epoch': '2.88'}
{'loss': '2.917', 'grad_norm': '0.7619', 'learning_rate': '2.602e-06', 'epoch': '2.929'}
{'loss': '2.858', 'grad_norm': '0.692', 'learning_rate': '9.756e-07', 'epoch': '2.978'}
{'train_runtime': '617.8', 'train_samples_per_second': '15.86', 'train_steps_per_second': '0.995', 'train_loss': '3.05', 'epoch': '3'}
100%|█████████████████████████| 615/615 [10:17<00:00,  1.00s/it]
微调完成！权重已安全降落在 qwen2_lora_result 文件夹中。
